[2023-10-11T13:42:22.364128+00:00] console.INFO: Server running on [http://localhost:3000] [] []
[2023-10-11T13:42:22.563192+00:00] console.INFO: [200] GET/ ..................... ~0.0937s [] []
[2023-10-11T13:42:22.578979+00:00] console.INFO: [200] GET/ ..................... ~0.0008s [] []
[2023-10-11T13:42:22.696174+00:00] console.INFO: [404] GET/favicon.ico ..................... ~0.0002s [] []
[2023-10-11T13:42:23.652208+00:00] console.INFO: [200] GET/ ..................... ~0.0023s [] []
[2023-10-11T13:42:23.663947+00:00] console.INFO: [200] GET/public/assets/css/style.css ..................... ~0.0001s [] []
[2023-10-11T13:42:24.000543+00:00] console.INFO: [200] GET/ ..................... ~0.0022s [] []
[2023-10-11T13:42:24.268776+00:00] console.INFO: [200] GET/ ..................... ~0.0021s [] []
[2023-10-11T13:42:26.632504+00:00] console.INFO: [200] GET/admin ..................... ~0.0076s [] []
[2023-10-11T13:42:26.698393+00:00] console.INFO: [200] GET/public/assets/css/fonts/icomoon.ttf?evlvjx ..................... ~0.0018s [] []
[2023-10-11T14:12:55.749619+00:00] console.INFO: [200] GET/admin ..................... ~0.0671s [] []
[2023-10-11T14:12:55.765160+00:00] console.INFO: [200] GET/admin ..................... ~0.0013s [] []
[2023-10-11T14:12:55.895290+00:00] console.INFO: [200] GET/public/assets/css/fonts/icomoon.ttf?evlvjx ..................... ~0.0034s [] []
[2023-10-11T14:12:57.871901+00:00] console.INFO: [200] GET/admin ..................... ~0.0025s [] []
[2023-10-11T14:12:57.885119+00:00] console.INFO: [200] GET/public/assets/css/style.css ..................... ~0.0002s [] []
[2023-10-11T14:12:57.921030+00:00] console.INFO: [200] GET/public/assets/css/fonts/icomoon.ttf?evlvjx ..................... ~0.0016s [] []
[2023-10-11T14:12:58.704781+00:00] console.INFO: [200] GET/admin ..................... ~0.0032s [] []
[2023-10-11T14:12:58.718087+00:00] console.INFO: [200] GET/public/assets/css/style.css ..................... ~0.0002s [] []
[2023-10-11T14:12:58.764894+00:00] console.INFO: [200] GET/public/assets/css/style.css ..................... ~0.0018s [] []
[2023-10-11T14:12:59.237390+00:00] console.INFO: [200] GET/admin ..................... ~0.0028s [] []
[2023-10-11T14:12:59.251232+00:00] console.INFO: [200] GET/public/assets/css/style.css ..................... ~0.0003s [] []
[2023-10-11T14:12:59.252895+00:00] console.INFO: [200] GET/public/assets/js/admin/app.js ..................... ~0.0001s [] []
[2023-10-11T14:12:59.295239+00:00] console.INFO: [200] GET/public/assets/css/fonts/icomoon.ttf?evlvjx ..................... ~0.0020s [] []
[2023-10-11T14:13:00.253741+00:00] console.INFO: [404] GET/logistics/shipments/FC6723757651DB74 ..................... ~0.0015s [] []
[2023-10-11T14:13:02.405287+00:00] console.INFO: [200] GET/admin ..................... ~0.0023s [] []
[2023-10-11T14:13:02.417438+00:00] console.INFO: [200] GET/public/assets/css/style.css ..................... ~0.0002s [] []
[2023-10-11T14:13:02.457888+00:00] console.INFO: [200] GET/public/assets/css/fonts/icomoon.ttf?evlvjx ..................... ~0.0016s [] []
[2023-10-11T14:13:05.660211+00:00] console.INFO: [200] GET/admin/auth/login ..................... ~0.0059s [] []
[2023-10-11T14:13:05.674201+00:00] console.INFO: [200] GET/public/assets/css/style.css ..................... ~0.0002s [] []
[2023-10-11T14:13:05.677466+00:00] console.INFO: [200] GET/public/assets/css/style.css ..................... ~0.0016s [] []
[2023-10-11T14:13:05.711870+00:00] console.INFO: [200] GET/public/assets/css/fonts/icomoon.ttf?evlvjx ..................... ~0.0025s [] []
[2023-10-11T14:40:36.822046+00:00] console.INFO: [200] GET/admin/auth/login ..................... ~0.0041s [] []
[2023-10-11T14:40:36.839957+00:00] console.INFO: [200] GET/admin/auth/login ..................... ~4.7922s [] []
[2023-10-11T14:40:36.845428+00:00] console.INFO: [200] GET/admin/auth/login ..................... ~0.0011s [] []
[2023-10-11T14:40:36.920578+00:00] console.INFO: [200] GET/admin/auth/login ..................... ~0.0040s [] []
[2023-10-11T14:40:39.854799+00:00] console.INFO: [200] GET/admin/ ..................... ~0.0049s [] []
[2023-10-11T14:40:39.870864+00:00] console.INFO: [200] GET/public/assets/js/admin/app.js ..................... ~0.0003s [] []
[2023-10-11T14:40:39.918426+00:00] console.INFO: [200] GET/public/assets/js/admin/app.js ..................... ~0.0021s [] []
[2023-10-11T14:41:02.668329+00:00] console.INFO: [200] GET/admin/ ..................... ~0.0088s [] []
[2023-10-11T14:41:02.691817+00:00] console.INFO: [200] GET/admin/ ..................... ~1.1920s [] []
[2023-10-11T14:41:02.738647+00:00] console.INFO: [200] GET/public/assets/css/fonts/icomoon.ttf?evlvjx ..................... ~0.0030s [] []
[2023-10-11T14:41:14.867620+00:00] console.INFO: [200] GET/admin/ ..................... ~0.0035s [] []
[2023-10-11T14:41:14.880625+00:00] console.INFO: [200] GET/public/assets/css/style.css ..................... ~0.0003s [] []
[2023-10-11T14:41:14.927234+00:00] console.INFO: [200] GET/public/assets/css/fonts/icomoon.ttf?evlvjx ..................... ~0.0009s [] []
[2023-10-11T14:47:14.812538+00:00] console.INFO: [200] GET/admin/auth/login ..................... ~0.0040s [] []
[2023-10-11T14:47:14.843252+00:00] console.INFO: [200] GET/admin/auth/login ..................... ~0.0020s [] []
[2023-10-11T14:47:15.283053+00:00] console.INFO: [200] GET/public/assets/css/fonts/icomoon.ttf?evlvjx ..................... ~0.0047s [] []
[2023-10-11T14:47:34.205739+00:00] console.INFO: [200] GET/admin ..................... ~0.0086s [] []
[2023-10-11T14:47:34.222884+00:00] console.INFO: [200] GET/public/assets/css/style.css ..................... ~8.8930s [] []
[2023-10-11T14:47:34.274633+00:00] console.INFO: [200] GET/public/assets/css/style.css ..................... ~0.0034s [] []
[2023-10-11T14:47:34.597559+00:00] console.INFO: [200] GET/admin/auth/login ..................... ~0.0024s [] []
[2023-10-11T14:47:35.786687+00:00] console.INFO: [200] GET/admin/ ..................... ~0.0026s [] []
[2023-10-11T14:55:36.742779+00:00] console.INFO: [200] GET/ ..................... ~0.0038s [] []
